RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,Year,AggressionScore,RKOOddsDec,RSubOddsDec,BKOOddsDec,BSubOddsDec,RedFinishingProb,BlueFinishingProb,RedStrikeGrapple,BlueStrikeGrapple,FightPace,SurvivabilityIndex,RedOddsDec,BlueOddsDec,Pred,Pblue,BettingEdgeIndex
Colby Covington,Joaquin Buckley,205,-250,205,40,2024-12-14,"Tampa, Florida, USA",USA,Blue,FALSE,Welterweight,MALE,5,0,5,0,4.13,0.36,0,1.96,0.46,5,4,34,0,0,1,2,7,0,0,10,Southpaw,177.8,193.04,170,1,0,0,3.88,0.38,0.2,3.79,0.44,7,4,58,4,0,0,7,3,2,0,12,Orthodox,180.34,182.88,170,36,30,-1,5,-2,-2,0,-24,-4,4,-2,-2.54,10.16,-6,0.25,-0.2,-1.83,NA,9,6,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,Red,KO/TKO,NA,3,04:42:00,882,300,175,1800,2000,1100,150,2024,0.9895432937680818,12,19,2.5,21,0.13596491228070173,0.44761904761904764,0.3793103448275862,0.06976744186046512,0.10300000000000001,0.98,3.05,1.4,0.3278688524590164,0.7142857142857143,0.3864168618266979
Manel Kape,Bruno Silva,-395,310,25.3165,310,2024-12-14,"Tampa, Florida, USA",USA,Red,FALSE,Flyweight,MALE,3,0,4,0,3.32,0.48,0.2,2.26,0.28,4,2,16,0,0,0,0,3,1,0,4,Orthodox,162.56,165.1,125,1,0,0,4.44,0.53,0.4,0.54,0.33,4,3,17,0,0,0,2,2,0,0,4,Southpaw,165.1,172.72,125,31,34,-1,4,0,0,-1,-1,0,1,1,-2.54,-7.62,3,-1.12,-0.2,1.72,NA,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,Red,KO/TKO,Punches,3,01:57:00,717,-105,550,900,1800,225,1100,2024,8.666572110791978e-4,3.25,10,12,19,0.4076923076923077,0.13596491228070173,0.2,0.3793103448275862,0.1305,0.7966666666666666,1.2531645569620253,4.1,0.797979797979798,0.24390243902439027,0.5540773589554078
Alexandre Pantoja,Kai Asakura,-250,215,40,215,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,TRUE,Flyweight,MALE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,0,2,4,2,4,0,12,Orthodox,165.1,170.18,125,34,31,0,-6,-6,-12,-3,-42,-3,-2,-4,7.62,5.08,-3,-4.41,-0.8,-2.61,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Rear Naked Choke,2,02:05:00,425,300,800,150,2500,400,350,2024,0.009471043581946108,5,2.5,4.5,26,0.6000000000000001,0.26068376068376065,0.7272727272727273,0.12280701754385964,0.23888888888888887,0.7083333333333334,1.4,3.15,0.7142857142857143,0.31746031746031744,0.39682539682539686
Shavkat Rakhmonov,Ian Machado Garry,-210,295,47.619,295,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,8,0,5.5,0.55,0.3,0.77,0.55,8,0,20,0,0,1,4,3,0,0,8,Orthodox,190.5,187.96,170,0,6,0,4.12,0.61,1.8,1.49,0.29,6,0,11,0,0,0,0,1,5,0,6,Orthodox,185.42,195.58,170,30,27,0,2,2,2,0,9,0,2,-5,5.08,-7.62,-3,1.38,-1.5,-0.72,NA,7,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,Red,U-DEC,NA,5,05:00:00,1500,250,650,180,3000,240,700,2024,0.006368515506815548,3.4,2.8,8,31,0.6512605042016807,0.15725806451612903,0.5714285714285714,0.1891891891891892,0,1,1.4761904761904763,3.95,0.6774193548387096,0.2531645569620253,0.42425479787668435
Ciryl Gane,Alexander Volkov,-380,300,26.3158,300,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,FALSE,Heavyweight,MALE,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,0,1,4,6,1,0,12,Orthodox,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,0,0,3,4,2,0,9,Orthodox,193.04,205.74,245,34,36,0,3,-3,3,2,11,-3,2,-1,7.62,-2.54,2,-0.36,-0.3,-0.13,NA,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Red,S-DEC,NA,3,05:00:00,900,-160,450,1100,3000,350,1100,2024,0.0011125360328603216,4.5,12,12,31,0.3055555555555555,0.11559139784946236,0.2413793103448276,0.2682926829268293,0.1,1,1.263157894736842,4,0.7916666666666667,0.25,0.5416666666666667
Bryce Mitchell,Kron Gracie,-950,625,10.5263,625,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,0,0,0,0,1,0,1,Southpaw,175.26,177.8,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,1,0,5,0,1,0,7,Southpaw,177.8,177.8,145,30,36,1,0,-5,-6,0,-15,0,0,0,-2.54,0,6,1.44,-1.1,-2.98,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Elbows,3,00:39:00,639,-200,1100,380,1400,500,4000,2024,1.4449800373124837e-7,6,4.8,41,15,0.375,0.0910569105691057,0.5681818181818182,0.7407407407407407,0.14350000000000002,0.71,1.1052631578947367,7.25,0.9047619047619049,0.13793103448275862,0.7668308702791462
Dominick Reyes,Anthony Smith,-380,300,26.3158,300,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,0,1,1,7,6,0,15,Orthodox,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,Southpaw,193.04,195.58,205,34,36,1,-1,-3,8,8,42,-1,3,5,0,-2.54,2,-1.63,0.3,0.11,NA,13,12,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,Red,KO/TKO,Punches,2,04:46:00,586,250,750,1200,1200,-125,800,2024,0.0011125360328603216,1.8,13,9,13,0.6324786324786325,0.18803418803418803,0,0.4,0.20311111111111108,0.9766666666666667,1.263157894736842,4,0.7916666666666667,0.25,0.5416666666666667
Vicente Luque,Themba Gorimbo,-650,-162,15.3846,61.7284,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,FALSE,Welterweight,MALE,3,0,4,0,3.11,0.61,0.6,4.89,0.65,4,1,12,0,0,0,3,1,0,0,4,Orthodox,185.42,195.58,170,1,0,0,5.07,0.52,0.6,1,0.53,6,6,47,0,0,1,1,8,5,0,15,Orthodox,180.34,190.5,170,33,33,-1,4,-2,-11,-5,-35,0,-7,-5,5.08,5.08,0,-1.96,0,3.89,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,SUB,Anaconda Choke,1,00:52:00,52,450,130,450,900,600,450,2024,0.007539734558373393,7,5.5,5.5,10,0.3246753246753247,0.28181818181818186,0.5714285714285714,0.3333333333333333,0.4826666666666667,0.17333333333333334,1.1538461538461537,1.617283950617284,0.8666666666666667,0.6183206106870228,0.24834605597964388
Movsar Evloev,Aljamain Sterling,-238,195,42.0168,195,2024-12-07,"Las Vegas, Nevada, USA",USA,Red,FALSE,Featherweight,MALE,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,0,2,7,2,4,0,16,Orthodox,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,0,1,7,0,0,0,8,Orthodox,170.18,182.88,145,30,35,0,-7,1,8,4,33,5,2,4,0,-2.54,5,0.18,0.5,-2.44,NA,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,-135,275,1600,1100,550,1600,2024,0.01299641655785336,6.5,17,17,12,0.21266968325791857,0.14215686274509803,0.2558139534883721,0.5925925925925926,0.1,1,1.4201680672268908,2.95,0.7041420118343195,0.3389830508474576,0.36515896098686185
Cody Durden,Joshua Van,142,-170,142,58.8235,2024-12-07,"Las Vegas, Nevada, USA",USA,Blue,FALSE,Flyweight,MALE,3,0,1,0,8.39,0.53,0,1.62,0.63,3,1,14,0,0,1,2,1,0,0,4,Orthodox,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,0,0,4,1,1,0,6,Southpaw,170.18,170.18,125,33,23,0,0,-1,-2,-3,-10,0,0,-1,-5.08,-5.08,-10,5.04,-0.9,-2.74,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red,U-DEC,NA,3,05:00:00,900,300,250,550,800,900,225,2024,0.9577102281579662,10,6.5,3.25,9,0.25384615384615383,0.4188034188034188,0.6206896551724138,0.21951219512195122,0.1,1,2.42,1.5882352941176472,0.4132231404958678,0.6296296296296295,0.21640648913376176
